params	mean_test_F1_Macro	mean_test_Acc	rank_test_F1_Macro
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8372089943528007	0.838945301069162	58
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8374152192871787	0.8391026228214331	56
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8351406194591119	0.8368369182504225	64
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8469320542043418	0.8482913707981556	39
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8464251592642157	0.8477564184135721	40
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8444749760148218	0.8458368682409899	44
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8735354967575055	0.8740953863080115	7
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8683121134538254	0.8690289108985407	13
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8644010416701866	0.8651583046109191	16
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8350154638771775	0.8368369430075673	66
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8334774836962314	0.8352635373305558	78
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8337845818644501	0.8355466847954987	74
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8444727553094475	0.8458682702034392	45
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8428166840979591	0.8441690586194722	49
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8416052369960323	0.8429731350319045	53
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8568680236659569	0.8577318147630816	22
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8547396143570583	0.855749208142724	29
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8527002715527658	0.8536409144497055	33
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8811475122602015	0.8814903702133916	1
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8775128282446518	0.8779344272360282	4
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8719926109654894	0.8724904103199662	10
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8108907049486366	0.8142110516884621	107
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8110575109778712	0.8143684378093097	104
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8110237298260172	0.8142740091076585	105
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8271723712186558	0.82969351645038	83
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8270636680920139	0.8295361451838194	85
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.825647713019724	0.8281201206762265	89
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8355316443363003	0.8376865785081244	61
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8345559675733275	0.8367110826348929	70
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8335473959020001	0.8356726194396072	77
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8590702318373135	0.860438102434172	20
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8565004855145819	0.8579206127492363	23
{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8528544633235502	0.8543961856171881	31
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8238939173826172	0.8262948803710006	94
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8241373009751207	0.826515174396755	91
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8232092535969432	0.8256026161370041	97
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8366526386659148	0.8383473863139532	59
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8361836790681554	0.8378753665914214	60
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.834664850806314	0.8363963896160612	68
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8470377843648805	0.8484173103936931	38
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8456251343416838	0.8469696759636347	42
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.844228612297705	0.8456166237295253	47
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8714878616946585	0.8721128192990856	11
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8666761234860523	0.8673926319766252	15
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8626046951249146	0.8633961108506109	18
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8337222962870557	0.8356097362918451	75
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8338211873923296	0.8356096026032633	73
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8329185123429476	0.8346655829639154	80
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8435639896371285	0.8449556871865436	48
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8427249536196602	0.8441060566374151	50
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8415168656287504	0.8428787756502588	54
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.856141268572296	0.8570708980258157	25
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8534024212571936	0.8543646697718728	30
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8516606233255624	0.8526968601503551	36
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8810388692976601	0.8814273979399084	3
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8749838593175732	0.8754484682506949	6
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.15, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8706681046137994	0.8711687253883035	12
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.810826468563922	0.8141481190264104	108
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8112227758407151	0.814494288279126	101
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8109844618315419	0.8142425427766327	106
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8270141317140292	0.8295361303295324	86
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8258365967282074	0.8284032780440272	87
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8251388510808384	0.8276480316336894	90
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8353789740133122	0.837529207241564	63
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8344120721621803	0.8365851677965003	71
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8329595985260052	0.8351061908211399	79
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'tree_method': 'hist'}	0.8585424382660506	0.8599346262834724	21
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'tree_method': 'hist'}	0.8556836283683141	0.8571024831911366	27
{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'tree_method': 'hist'}	0.8524915915754165	0.8540185995477364	35
